latitude,longitude,bright_ti4,bright_ti5,frp,confidence,acq_date,acq_time,satellite,instrument,daynight,confidence_score,datetime
8.69127,80.45773,350.58,295.19,12.2,n,2026-09-21,737,N21,VIIRS,D,0.66,2026-09-21 07:37:00
8.69526,80.45707,330.87,294.76,4.72,n,2026-09-21,737,N21,VIIRS,D,0.66,2026-09-21 07:37:00
13.34372,77.71157,336.99,293.54,5.53,n,2026-09-21,739,N21,VIIRS,D,0.66,2026-09-21 07:39:00
13.3439,77.7095,336.95,294.03,10.02,n,2026-09-21,739,N21,VIIRS,D,0.66,2026-09-21 07:39:00
8.66142,78.05058,337.36,287.77,3.93,n,2026-09-22,720,N21,VIIRS,D,0.66,2026-09-22 07:20:00
8.67295,77.47455,337.27,286.31,14.12,n,2026-09-22,720,N21,VIIRS,D,0.66,2026-09-22 07:20:00
8.67955,77.47332,355.6,288.24,14.12,l,2026-09-22,720,N21,VIIRS,D,0.33,2026-09-22 07:20:00
9.08463,80.3308,330.56,291.7,4.63,n,2026-09-22,720,N21,VIIRS,D,0.66,2026-09-22 07:20:00
12.7465,77.62124,308.43,277.04,1.41,n,2026-09-22,1953,N21,VIIRS,N,0.66,2026-09-22 19:53:00
11.26746,80.00343,303.47,265.91,2.32,n,2026-09-22,1953,N21,VIIRS,N,0.66,2026-09-22 19:53:00
9.26444,77.48404,308.03,266.6,1.15,n,2026-09-22,1955,N21,VIIRS,N,0.66,2026-09-22 19:55:00
9.26447,77.48221,307.25,266.74,1.68,n,2026-09-22,1955,N21,VIIRS,N,0.66,2026-09-22 19:55:00
8.91982,78.07803,367.0,295.65,7.43,h,2026-09-23,839,N21,VIIRS,D,1.0,2026-09-23 08:39:00
8.81421,77.98473,331.35,296.21,1.76,n,2026-09-23,839,N21,VIIRS,D,0.66,2026-09-23 08:39:00
8.83951,77.94158,336.76,296.24,10.74,n,2026-09-23,839,N21,VIIRS,D,0.66,2026-09-23 08:39:00
8.83991,77.94456,367.0,298.06,10.74,h,2026-09-23,839,N21,VIIRS,D,1.0,2026-09-23 08:39:00
8.91761,78.07673,367.0,295.45,4.49,h,2026-09-23,839,N21,VIIRS,D,1.0,2026-09-23 08:39:00
8.918,78.07979,332.21,294.37,4.49,n,2026-09-23,839,N21,VIIRS,D,0.66,2026-09-23 08:39:00
8.91941,78.07498,332.18,294.55,4.29,n,2026-09-23,839,N21,VIIRS,D,0.66,2026-09-23 08:39:00
9.0476,78.19106,331.03,288.67,1.45,n,2026-09-23,839,N21,VIIRS,D,0.66,2026-09-23 08:39:00
