latitude,longitude,bright_ti4,bright_ti5,thermal_difference,frp,frp_log,confidence_score,hour,day_of_week,day_of_year,detection_count,days_detected,avg_frp,max_frp,persistence
8.42284,80.19805,333.02,290.25,42.76999999999998,3.15,1.423108334242607,0.66,7,1,237,1,1,3.15,3.15,Transient
10.77575,78.88298,305.38,283.61,21.769999999999982,1.6,0.9555114450274363,0.66,20,1,237,1,1,1.6,1.6,Transient
11.26698,80.00464,305.21,275.28,29.930000000000007,1.48,0.9082585601768908,0.66,20,1,237,6,6,3.0966666666666662,7.53,Recurring
12.2171,79.00295,299.01,272.29,26.71999999999997,0.9,0.6418538861723948,0.66,20,1,237,1,1,0.9,0.9,Transient
12.91749,79.11784,304.36,281.42,22.939999999999998,0.7,0.5306282510621704,0.66,20,1,237,1,1,0.7,0.7,Transient
8.47969,80.36192,332.81,284.05,48.75999999999999,10.08,2.405141681319138,0.66,7,2,238,2,1,10.26,10.44,Transient
8.48021,80.36486,355.46,283.93,71.52999999999997,10.44,2.437115985951652,0.33,7,2,238,2,1,10.26,10.44,Transient
8.84246,80.37051,367.0,290.49,76.50999999999999,7.96,2.192770226986839,1.0,7,2,238,1,1,7.96,7.96,Transient
8.9117,80.47472,338.16,289.9,48.26000000000005,11.6,2.533696813957432,0.66,7,2,238,1,1,11.6,11.6,Transient
9.23741,80.32394,332.77,290.25,42.51999999999998,1.76,1.0152306797290584,0.66,7,2,238,1,1,1.76,1.76,Transient
9.27424,80.15481,330.55,289.88,40.670000000000016,2.74,1.3190856114264407,0.66,7,2,238,1,1,2.74,2.74,Transient
9.34347,80.16696,346.15,290.17,55.97999999999996,6.12,1.9629077254238845,0.66,7,2,238,1,1,6.12,6.12,Transient
9.39075,78.88336,336.06,291.74,44.31999999999999,2.89,1.358409157630355,0.66,7,2,238,5,2,4.298,4.69,Recurring
9.43175,80.37721,330.8,291.89,38.910000000000025,7.51,2.1412419425852827,0.66,7,2,238,1,1,10.52,10.52,Transient
9.44243,80.49594,331.63,293.33,38.30000000000001,5.77,1.9125010869241836,0.66,7,2,238,1,1,5.77,5.77,Transient
9.45457,80.4912,333.31,292.57,40.74000000000001,16.03,2.834976494674597,0.66,7,2,238,3,1,17.003333333333334,18.95,Transient
9.45557,80.49669,340.96,293.67,47.289999999999964,16.03,2.834976494674597,0.66,7,2,238,3,1,17.003333333333334,18.95,Transient
9.45706,80.49337,343.5,293.49,50.00999999999999,18.95,2.9932291433358724,0.66,7,2,238,3,1,17.003333333333334,18.95,Transient
10.38894,79.17622,330.34,292.83,37.50999999999999,5.0,1.791759469228055,0.66,7,2,238,1,1,5.0,5.0,Transient
11.74077,78.97653,347.16,294.02,53.14000000000004,3.99,1.6074359097634274,0.66,7,2,238,1,1,3.99,3.99,Transient
11.7447,79.05466,333.07,295.21,37.860000000000014,1.51,0.9202827531436926,0.66,7,2,238,1,1,1.51,1.51,Transient
11.26812,80.00212,308.67,282.57,26.100000000000023,1.51,0.9202827531436926,0.66,20,2,238,6,6,3.0966666666666662,7.53,Recurring
11.80773,77.92281,307.55,279.96,27.590000000000032,1.42,0.883767540168595,0.66,20,2,238,10,5,2.316,3.41,Recurring
11.81676,77.91685,300.49,280.09,20.400000000000034,0.64,0.49469624183610705,0.66,20,2,238,10,5,2.316,3.41,Recurring
9.41347,80.41784,328.41,288.67,39.74000000000001,3.85,1.5789787049493917,0.66,7,3,239,9,5,11.636666666666663,29.65,Recurring
9.08281,77.96626,331.57,294.28,37.29000000000002,3.55,1.5151272329628591,0.66,8,3,239,1,1,3.55,3.55,Transient
9.18647,77.63859,330.03,292.53,37.5,0.83,0.6043159668533294,0.66,8,3,239,2,1,1.045,1.26,Transient
9.18691,77.63944,331.4,291.35,40.049999999999955,1.26,0.8153648132841945,0.66,8,3,239,2,1,1.045,1.26,Transient
9.20358,77.94232,343.32,296.38,46.94,4.47,1.6992786164338898,0.66,8,3,239,2,1,6.869999999999999,9.27,Transient
9.20698,77.93936,332.0,296.61,35.389999999999986,9.27,2.329227023940467,0.66,8,3,239,2,1,6.869999999999999,9.27,Transient
9.38556,77.56399,330.37,292.71,37.660000000000025,4.92,1.7783364488959144,0.66,8,3,239,1,1,4.92,4.92,Transient
9.39247,80.4873,330.79,290.24,40.55000000000001,11.0,2.4849066497880004,0.66,8,3,239,1,1,11.0,11.0,Transient
9.91148,78.28306,333.73,291.88,41.85000000000002,3.22,1.4398351280479207,0.66,8,3,239,1,1,3.22,3.22,Transient
10.05289,77.95028,355.42,292.05,63.370000000000005,11.04,2.488234439880675,0.66,8,3,239,1,1,11.04,11.04,Transient
10.87824,77.60252,332.96,294.52,38.44,1.69,0.9895411936137477,0.66,8,3,239,1,1,1.69,1.69,Transient
10.97389,77.72894,330.9,295.82,35.079999999999984,4.69,1.7387102481382397,0.66,8,3,239,1,1,4.69,4.69,Transient
8.38569,80.18303,330.97,289.07,41.900000000000034,3.06,1.4011829736136414,0.66,8,4,240,2,2,2.88,3.06,Transient
8.49315,80.21699,334.7,291.02,43.68000000000001,5.37,1.851599469584072,0.66,8,4,240,1,1,5.37,5.37,Transient
8.56604,78.08351,332.18,303.65,28.53000000000003,1.94,1.0784095813505903,0.33,8,4,240,2,2,3.09,4.24,Transient
8.60504,80.46202,341.86,291.89,49.97000000000003,29.81,3.4278393126085764,0.66,8,4,240,6,2,13.891666666666666,29.81,Recurring
8.60969,77.83566,339.17,306.85,32.31999999999999,6.03,1.9501867058225735,0.66,8,4,240,1,1,6.03,6.03,Transient
8.60984,80.46139,341.14,291.11,50.02999999999997,13.78,2.6932749155200555,0.66,8,4,240,6,2,13.891666666666666,29.81,Recurring
8.71279,77.97305,343.0,308.96,34.04000000000002,7.52,2.1424163408412245,0.66,8,4,240,1,1,7.52,7.52,Transient
8.80825,80.01944,335.42,293.06,42.360000000000014,5.55,1.8794650496471605,0.66,8,4,240,2,1,5.654999999999999,5.76,Transient
8.81104,80.01739,339.67,292.45,47.22000000000003,5.76,1.9110228900548727,0.66,8,4,240,2,1,5.654999999999999,5.76,Transient
8.85495,80.46632,341.25,293.81,47.44,7.05,2.0856720914304723,0.66,8,4,240,1,1,7.05,7.05,Transient
8.86089,77.99239,337.56,308.96,28.600000000000023,3.92,1.5933085305042167,0.33,8,4,240,2,1,3.755,3.92,Transient
8.8614,77.99268,337.88,308.55,29.329999999999984,3.59,1.5238800240724537,0.33,8,4,240,2,1,3.755,3.92,Transient
8.99345,77.86612,337.63,307.56,30.069999999999993,4.63,1.728109442151599,0.66,8,4,240,1,1,4.63,4.63,Transient
9.05433,80.49529,334.06,295.79,38.26999999999998,8.53,2.254444717666111,0.66,8,4,240,1,1,8.53,8.53,Transient
9.06493,77.68907,340.71,305.91,34.799999999999955,4.13,1.6351056591826783,0.66,8,4,240,1,1,4.13,4.13,Transient
9.0767,77.56914,338.85,306.27,32.58000000000004,4.9,1.7749523509116738,0.66,8,4,240,2,1,4.465,4.9,Transient
9.07731,77.57346,342.45,305.29,37.15999999999997,4.03,1.6154199841116479,0.66,8,4,240,2,1,4.465,4.9,Transient
9.18652,77.78751,350.7,307.2,43.5,15.58,2.8081971497071487,0.66,8,4,240,1,1,15.58,15.58,Transient
9.26581,77.91255,344.05,295.15,48.900000000000034,5.95,1.9387416595767009,0.66,8,4,240,1,1,5.95,5.95,Transient
9.2775,78.39238,332.61,300.75,31.860000000000014,4.12,1.6331544390514163,0.66,8,4,240,3,1,4.03,4.12,Transient
9.27803,78.39629,348.85,302.26,46.59000000000003,4.12,1.6331544390514163,0.66,8,4,240,3,1,4.03,4.12,Transient
9.28223,78.3957,342.73,301.7,41.03000000000003,3.85,1.5789787049493917,0.66,8,4,240,3,1,4.03,4.12,Transient
9.33282,78.42058,341.42,303.56,37.860000000000014,6.56,2.0228711901914416,0.66,8,4,240,1,1,6.56,6.56,Transient
9.37102,77.52661,334.6,305.85,28.75,3.24,1.4445632692438664,0.33,8,4,240,1,1,3.24,3.24,Transient
9.37401,78.6227,341.48,302.93,38.55000000000001,5.53,1.8764069432883397,0.66,8,4,240,1,1,5.53,5.53,Transient
9.40697,78.81196,338.76,301.08,37.68000000000001,3.78,1.5644405465033644,0.66,8,4,240,3,2,3.71,5.62,Transient
9.40914,78.81119,334.12,300.42,33.69999999999999,1.73,1.0043016091968684,0.66,8,4,240,3,2,3.71,5.62,Transient
9.4172,77.50932,337.26,307.6,29.659999999999968,3.45,1.4929040961781488,0.33,8,4,240,2,2,2.95,3.45,Transient
9.42099,80.38881,338.89,297.22,41.66999999999996,6.43,2.005525858729668,0.66,8,4,240,24,9,9.203333333333331,24.67,Persistent
9.43409,80.37614,339.95,297.81,42.139999999999986,8.25,2.224623551524334,0.66,8,4,240,1,1,10.52,10.52,Transient
9.43479,80.3815,337.41,297.81,39.60000000000002,8.0,2.1972245773362196,0.66,8,4,240,1,1,10.52,10.52,Transient
9.53326,78.18642,344.34,307.81,36.52999999999997,11.28,2.5079719227189963,0.66,8,4,240,2,1,9.595,11.28,Transient
9.53541,78.18616,344.4,306.73,37.66999999999996,7.91,2.187174241482718,0.66,8,4,240,2,1,9.595,11.28,Transient
9.55345,78.51564,341.09,308.43,32.65999999999997,54.45,4.015481713796376,0.66,8,4,240,1,1,54.45,54.45,Transient
9.68469,78.36857,345.19,307.1,38.089999999999975,13.95,2.7047112998366956,0.66,8,4,240,1,1,13.95,13.95,Transient
9.71987,77.97552,346.61,304.06,42.55000000000001,8.76,2.278292400425001,0.66,8,4,240,1,1,8.76,8.76,Transient
9.8426,78.13952,339.23,305.62,33.610000000000014,6.3,1.9878743481543455,0.66,8,4,240,1,1,6.3,6.3,Transient
9.88012,78.4716,335.03,303.66,31.369999999999948,2.73,1.3164082336557241,0.66,8,4,240,1,1,2.73,2.73,Transient
10.03975,77.97247,338.0,304.45,33.55000000000001,5.07,1.803358605071407,0.66,8,4,240,1,1,5.07,5.07,Transient
10.44864,79.65552,335.25,294.59,40.660000000000025,3.77,1.5623463049002497,0.66,8,4,240,1,1,3.77,3.77,Transient
10.53153,78.34397,332.5,295.32,37.18000000000001,2.69,1.3056264580524357,0.66,8,4,240,2,1,3.665,4.64,Transient
