latitude,longitude,bright_ti4,bright_ti5,thermal_difference,frp,frp_log,confidence_score,hour,day_of_week,day_of_year,detection_count,days_detected,avg_frp,max_frp,persistence,ml_prediction,anomaly_score,ml_anomaly,ml_status,nearby_detections_5km,nearby_recurring_5km,nearby_persistent_5km,nearby_avg_frp,local_activity,target
8.42284,80.19805,333.02,290.25,42.76999999999998,3.15,1.423108334242607,0.66,7,1,237,1,1,3.15,3.15,Transient,1,0.3738226050315086,False,Normal Thermal Pattern,11,0,0,7.163636363636363,High Local Thermal Density,Agricultural Burning
10.77575,78.88298,305.38,283.61,21.769999999999985,1.6,0.9555114450274363,0.66,20,1,237,1,1,1.6,1.6,Transient,1,0.4610941359065222,False,Normal Thermal Pattern,1,0,0,2.77,Isolated Thermal Activity,Agricultural Burning
11.26698,80.00464,305.21,275.28,29.930000000000007,1.48,0.9082585601768908,0.66,20,1,237,6,6,3.0966666666666662,7.53,Recurring,-1,0.6053457100421219,True,ML Anomaly,5,5,0,3.4199999999999995,Recurring Local Activity,Agricultural Burning
12.2171,79.00295,299.01,272.29,26.71999999999997,0.9,0.6418538861723948,0.66,20,1,237,1,1,0.9,0.9,Transient,1,0.5276584769654269,False,Normal Thermal Pattern,0,0,0,,Isolated Thermal Activity,Agricultural Burning
12.91749,79.11784,304.36,281.42,22.94,0.7,0.5306282510621704,0.66,20,1,237,1,1,0.7,0.7,Transient,1,0.5047406711487488,False,Normal Thermal Pattern,0,0,0,,Isolated Thermal Activity,Agricultural Burning
8.47969,80.36192,332.81,284.05,48.75999999999999,10.08,2.405141681319138,0.66,7,2,238,2,1,10.26,10.44,Transient,1,0.4306939669098674,False,Normal Thermal Pattern,9,4,0,7.78888888888889,Recurring Local Activity,Industrial Fire
8.48021,80.36486,355.46,283.93,71.52999999999997,10.44,2.437115985951652,0.33,7,2,238,2,1,10.26,10.44,Transient,-1,0.5718001588908131,True,ML Anomaly,10,5,0,7.250000000000002,Recurring Local Activity,Industrial Fire
8.84246,80.37051,367.0,290.49,76.50999999999999,7.96,2.192770226986839,1.0,7,2,238,1,1,7.96,7.96,Transient,-1,0.5813878484090932,True,ML Anomaly,3,0,0,5.123333333333334,Isolated Thermal Activity,Agricultural Burning
8.9117,80.47472,338.16,289.9,48.26000000000005,11.6,2.533696813957432,0.66,7,2,238,1,1,11.6,11.6,Transient,1,0.4206465451517143,False,Normal Thermal Pattern,7,2,0,8.512857142857142,Recurring Local Activity,Industrial Fire
9.23741,80.32394,332.77,290.25,42.51999999999998,1.76,1.0152306797290584,0.66,7,2,238,1,1,1.76,1.76,Transient,1,0.4092531258657872,False,Normal Thermal Pattern,2,0,0,3.97,Isolated Thermal Activity,Agricultural Burning
