cluster_id,latitude,longitude,first_seen,last_seen,detection_count,avg_frp,max_frp,days_detected,persistence
0,8.42284,80.19805,2026-08-25 07:44:00,2026-08-25 07:44:00,1,3.15,3.15,1,Transient
1,10.77575,78.88298,2026-08-25 20:19:00,2026-08-25 20:19:00,1,1.6,1.6,1,Transient
2,11.268143333333333,80.00345166666666,2026-08-25 20:19:00,2026-09-22 19:53:00,6,3.0966666666666662,7.53,6,Recurring
3,12.2171,79.00295,2026-08-25 20:19:00,2026-08-25 20:19:00,1,0.9,0.9,1,Transient
4,12.91749,79.11784,2026-08-25 20:19:00,2026-08-25 20:19:00,1,0.7,0.7,1,Transient
5,8.479949999999999,80.36339,2026-08-26 07:26:00,2026-08-26 07:26:00,2,10.26,10.44,1,Transient
6,8.84246,80.37051,2026-08-26 07:26:00,2026-08-26 07:26:00,1,7.96,7.96,1,Transient
7,8.9117,80.47472,2026-08-26 07:26:00,2026-08-26 07:26:00,1,11.6,11.6,1,Transient
8,9.23741,80.32394,2026-08-26 07:26:00,2026-08-26 07:26:00,1,1.76,1.76,1,Transient
9,9.27424,80.15481,2026-08-26 07:26:00,2026-08-26 07:26:00,1,2.74,2.74,1,Transient
10,9.34347,80.16696,2026-08-26 07:26:00,2026-08-26 07:26:00,1,6.12,6.12,1,Transient
11,9.393338,78.886636,2026-08-26 07:26:00,2026-09-05 07:37:00,5,4.298,4.69,2,Recurring
12,9.42431125,80.39488874999999,2026-08-26 07:26:00,2026-09-10 07:44:00,24,9.203333333333333,24.67,9,Persistent
13,9.44243,80.49594,2026-08-26 07:26:00,2026-08-26 07:26:00,1,5.77,5.77,1,Transient
14,9.455733333333333,80.49375333333334,2026-08-26 07:26:00,2026-08-26 07:26:00,3,17.003333333333334,18.95,1,Transient
15,10.38894,79.17622,2026-08-26 07:26:00,2026-08-26 07:26:00,1,5.0,5.0,1,Transient
16,11.74077,78.97653,2026-08-26 07:26:00,2026-08-26 07:26:00,1,3.99,3.99,1,Transient
17,11.7447,79.05466,2026-08-26 07:26:00,2026-08-26 07:26:00,1,1.51,1.51,1,Transient
18,11.812731,77.919006,2026-08-26 20:00:00,2026-09-07 19:36:00,10,2.316,3.41,5,Recurring
19,9.408809999999999,80.41947555555555,2026-08-27 07:07:00,2026-09-12 07:07:00,9,11.636666666666665,29.65,5,Recurring
20,9.08281,77.96626,2026-08-27 08:48:00,2026-08-27 08:48:00,1,3.55,3.55,1,Transient
21,9.186689999999999,77.639015,2026-08-27 08:48:00,2026-08-27 08:48:00,2,1.045,1.26,1,Transient
22,9.20528,77.94084,2026-08-27 08:48:00,2026-08-27 08:48:00,2,6.869999999999999,9.27,1,Transient
23,9.38556,77.56399,2026-08-27 08:48:00,2026-08-27 08:48:00,1,4.92,4.92,1,Transient
24,9.39247,80.4873,2026-08-27 08:48:00,2026-08-27 08:48:00,1,11.0,11.0,1,Transient
25,9.91148,78.28306,2026-08-27 08:48:00,2026-08-27 08:48:00,1,3.22,3.22,1,Transient
26,10.05289,77.95028,2026-08-27 08:48:00,2026-08-27 08:48:00,1,11.04,11.04,1,Transient
27,10.87824,77.60252,2026-08-27 08:48:00,2026-08-27 08:48:00,1,1.69,1.69,1,Transient
28,10.97389,77.72894,2026-08-27 08:48:00,2026-08-27 08:48:00,1,4.69,4.69,1,Transient
29,8.389395,80.18483,2026-08-28 08:28:00,2026-09-02 08:35:00,2,2.88,3.06,2,Transient
30,8.49315,80.21699,2026-08-28 08:28:00,2026-08-28 08:28:00,1,5.37,5.37,1,Transient
31,8.56303,78.080325,2026-08-28 08:28:00,2026-09-13 08:28:00,2,3.09,4.24,2,Transient
32,8.606053333333334,80.47096166666667,2026-08-28 08:28:00,2026-09-03 08:16:00,6,13.891666666666666,29.81,2,Recurring
33,8.60969,77.83566,2026-08-28 08:28:00,2026-08-28 08:28:00,1,6.03,6.03,1,Transient
34,8.71279,77.97305,2026-08-28 08:28:00,2026-08-28 08:28:00,1,7.52,7.52,1,Transient
35,8.809645,80.018415,2026-08-28 08:28:00,2026-08-28 08:28:00,2,5.654999999999999,5.76,1,Transient
36,8.85495,80.46632,2026-08-28 08:28:00,2026-08-28 08:28:00,1,7.05,7.05,1,Transient
37,8.861145,77.992535,2026-08-28 08:28:00,2026-08-28 08:28:00,2,3.755,3.92,1,Transient
38,8.99345,77.86612,2026-08-28 08:28:00,2026-08-28 08:28:00,1,4.63,4.63,1,Transient
39,9.05433,80.49529,2026-08-28 08:28:00,2026-08-28 08:28:00,1,8.53,8.53,1,Transient
40,9.06493,77.68907,2026-08-28 08:28:00,2026-08-28 08:28:00,1,4.13,4.13,1,Transient
41,9.077005,77.57130000000001,2026-08-28 08:28:00,2026-08-28 08:28:00,2,4.465,4.9,1,Transient
42,9.18652,77.78751,2026-08-28 08:28:00,2026-08-28 08:28:00,1,15.58,15.58,1,Transient
43,9.26581,77.91255,2026-08-28 08:28:00,2026-08-28 08:28:00,1,5.95,5.95,1,Transient
44,9.279253333333333,78.39479,2026-08-28 08:28:00,2026-08-28 08:28:00,3,4.03,4.12,1,Transient
45,9.33282,78.42058,2026-08-28 08:28:00,2026-08-28 08:28:00,1,6.56,6.56,1,Transient
46,9.37102,77.52661,2026-08-28 08:28:00,2026-08-28 08:28:00,1,3.24,3.24,1,Transient
47,9.37401,78.6227,2026-08-28 08:28:00,2026-08-28 08:28:00,1,5.53,5.53,1,Transient
48,9.408653333333334,78.81116666666667,2026-08-28 08:28:00,2026-09-03 08:16:00,3,3.7099999999999995,5.62,2,Transient
49,9.41819,77.509485,2026-08-28 08:28:00,2026-08-31 07:31:00,2,2.95,3.45,2,Transient
50,9.534335,78.18629,2026-08-28 08:28:00,2026-08-28 08:28:00,2,9.594999999999999,11.28,1,Transient
51,9.55345,78.51564,2026-08-28 08:28:00,2026-08-28 08:28:00,1,54.45,54.45,1,Transient
52,9.68469,78.36857,2026-08-28 08:28:00,2026-08-28 08:28:00,1,13.95,13.95,1,Transient
53,9.71987,77.97552,2026-08-28 08:28:00,2026-08-28 08:28:00,1,8.76,8.76,1,Transient
54,9.8426,78.13952,2026-08-28 08:28:00,2026-08-28 08:28:00,1,6.3,6.3,1,Transient
55,9.88012,78.4716,2026-08-28 08:28:00,2026-08-28 08:28:00,1,2.73,2.73,1,Transient
56,10.03975,77.97247,2026-08-28 08:28:00,2026-08-28 08:28:00,1,5.07,5.07,1,Transient
57,10.44864,79.65552,2026-08-28 08:28:00,2026-08-28 08:28:00,1,3.77,3.77,1,Transient
58,10.531825000000001,78.34364500000001,2026-08-28 08:28:00,2026-08-28 08:28:00,2,3.665,4.64,1,Transient
59,11.16639,78.01994,2026-08-28 08:28:00,2026-08-28 08:28:00,1,3.13,3.13,1,Transient
60,11.23093,78.85033,2026-08-28 08:28:00,2026-08-28 08:28:00,1,1.73,1.73,1,Transient
61,11.09134,76.9546,2026-08-28 08:30:00,2026-08-28 08:30:00,1,5.04,5.04,1,Transient
62,11.483830000000001,79.03784,2026-08-28 08:30:00,2026-08-28 08:30:00,2,2.185,2.53,1,Transient
63,12.41271,77.18036,2026-08-28 08:30:00,2026-08-28 08:30:00,1,6.76,6.76,1,Transient
64,12.65077,79.52586,2026-08-28 08:30:00,2026-08-28 08:30:00,1,18.17,18.17,1,Transient
65,13.32397,76.02139,2026-08-28 08:30:00,2026-08-28 08:30:00,1,6.95,6.95,1,Transient
66,8.03799,80.01488,2026-08-29 08:09:00,2026-08-29 08:09:00,1,4.84,4.84,1,Transient
67,8.606932857142857,77.96765571428571,2026-08-29 08:09:00,2026-09-16 07:31:00,7,9.955714285714285,22.28,6,Recurring
68,8.648959999999999,80.380055,2026-08-29 08:09:00,2026-09-11 07:26:00,2,2.575,2.77,2,Transient
69,8.64932,77.84006,2026-08-29 08:09:00,2026-08-29 08:09:00,1,3.29,3.29,1,Transient
70,8.694526666666667,80.35325666666667,2026-08-29 08:09:00,2026-09-02 08:35:00,3,5.05,6.39,2,Transient
71,8.75016,78.08366,2026-08-29 08:09:00,2026-08-29 08:09:00,1,6.22,6.22,1,Transient
72,8.75985,77.6738,2026-08-29 08:09:00,2026-08-29 08:09:00,1,1.58,1.58,1,Transient
73,8.850295,80.384525,2026-08-29 08:09:00,2026-08-31 07:31:00,2,5.95,8.64,2,Transient
74,8.85074,80.42461,2026-08-29 08:09:00,2026-08-29 08:09:00,1,3.26,3.26,1,Transient
75,8.8745,77.98587,2026-08-29 08:09:00,2026-08-29 08:09:00,1,5.31,5.31,1,Transient
76,8.914385,80.441615,2026-08-29 08:09:00,2026-09-09 08:03:00,2,9.205,9.58,2,Transient
77,8.91563,80.428358,2026-08-29 08:09:00,2026-09-06 07:20:00,5,8.476,18.71,4,Recurring
78,8.93622,80.39043000000001,2026-08-29 08:09:00,2026-08-29 08:09:00,2,5.015,5.68,1,Transient
79,8.96052,77.90134,2026-08-29 08:09:00,2026-08-29 08:09:00,1,2.91,2.91,1,Transient
80,9.0225,80.17139499999999,2026-08-29 08:09:00,2026-09-01 07:14:00,2,6.37,6.69,2,Transient
81,9.178975000000001,80.468525,2026-08-29 08:09:00,2026-08-29 08:09:00,2,8.73,8.73,1,Transient
82,9.24698,80.31161,2026-08-29 08:09:00,2026-08-29 08:09:00,1,4.14,4.14,1,Transient
83,9.407366999999999,80.462605,2026-08-29 08:09:00,2026-09-10 07:44:00,10,9.654,12.91,5,Recurring
84,9.41414,80.44216,2026-08-29 08:09:00,2026-08-29 08:09:00,1,5.16,5.16,1,Transient
85,9.42272,78.75917,2026-08-29 08:09:00,2026-08-29 08:09:00,1,3.76,3.76,1,Transient
86,9.43546,80.3385,2026-08-29 08:09:00,2026-08-29 08:09:00,1,6.99,6.99,1,Transient
87,9.49544,78.76971,2026-08-29 08:09:00,2026-08-29 08:09:00,1,4.96,4.96,1,Transient
