latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.69127,80.45773,350.58,0.39,0.44,2026-09-21,737,N21,VIIRS,n,2.0NRT,295.19,12.2,D
8.69526,80.45707,330.87,0.39,0.44,2026-09-21,737,N21,VIIRS,n,2.0NRT,294.76,4.72,D
13.34372,77.71157,336.99,0.49,0.49,2026-09-21,739,N21,VIIRS,n,2.0NRT,293.54,5.53,D
13.3439,77.7095,336.95,0.49,0.49,2026-09-21,739,N21,VIIRS,n,2.0NRT,294.03,10.02,D
8.66142,78.05058,337.36,0.6,0.7,2026-09-22,720,N21,VIIRS,n,2.0NRT,287.77,3.93,D
8.67295,77.47455,337.27,0.65,0.73,2026-09-22,720,N21,VIIRS,n,2.0NRT,286.31,14.12,D
8.67955,77.47332,355.6,0.65,0.73,2026-09-22,720,N21,VIIRS,l,2.0NRT,288.24,14.12,D
9.08463,80.3308,330.56,0.41,0.61,2026-09-22,720,N21,VIIRS,n,2.0NRT,291.7,4.63,D
11.26746,80.00343,303.47,0.54,0.42,2026-09-22,1953,N21,VIIRS,n,2.0NRT,265.91,2.32,N
12.7465,77.62124,308.43,0.53,0.5,2026-09-22,1953,N21,VIIRS,n,2.0NRT,277.04,1.41,N
9.26444,77.48404,308.03,0.48,0.48,2026-09-22,1955,N21,VIIRS,n,2.0NRT,266.6,1.15,N
9.26447,77.48221,307.25,0.48,0.48,2026-09-22,1955,N21,VIIRS,n,2.0NRT,266.74,1.68,N
8.81421,77.98473,331.35,0.33,0.55,2026-09-23,839,N21,VIIRS,n,2.0NRT,296.21,1.76,D
8.83951,77.94158,336.76,0.33,0.55,2026-09-23,839,N21,VIIRS,n,2.0NRT,296.24,10.74,D
8.83991,77.94456,367,0.33,0.55,2026-09-23,839,N21,VIIRS,h,2.0NRT,298.06,10.74,D
8.91761,78.07673,367,0.34,0.56,2026-09-23,839,N21,VIIRS,h,2.0NRT,295.45,4.49,D
8.918,78.07979,332.21,0.34,0.56,2026-09-23,839,N21,VIIRS,n,2.0NRT,294.37,4.49,D
8.91941,78.07498,332.18,0.34,0.56,2026-09-23,839,N21,VIIRS,n,2.0NRT,294.55,4.29,D
8.91982,78.07803,367,0.34,0.56,2026-09-23,839,N21,VIIRS,h,2.0NRT,295.65,7.43,D
9.0476,78.19106,331.03,0.34,0.56,2026-09-23,839,N21,VIIRS,n,2.0NRT,288.67,1.45,D
