latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.42284,80.19805,333.02,0.5,0.41,2026-08-25,744,N21,VIIRS,n,2.0NRT,290.25,3.15,D
10.77575,78.88298,305.38,0.39,0.36,2026-08-25,2019,N21,VIIRS,n,2.0NRT,283.61,1.6,N
11.26698,80.00464,305.21,0.41,0.37,2026-08-25,2019,N21,VIIRS,n,2.0NRT,275.28,1.48,N
12.2171,79.00295,299.01,0.39,0.36,2026-08-25,2019,N21,VIIRS,n,2.0NRT,272.29,0.9,N
12.91749,79.11784,304.36,0.39,0.36,2026-08-25,2019,N21,VIIRS,n,2.0NRT,281.42,0.7,N
8.47969,80.36192,332.81,0.33,0.55,2026-08-26,726,N21,VIIRS,n,2.0NRT,284.05,10.08,D
8.48021,80.36486,355.46,0.33,0.55,2026-08-26,726,N21,VIIRS,l,2.0NRT,283.93,10.44,D
8.84246,80.37051,367.0,0.32,0.55,2026-08-26,726,N21,VIIRS,h,2.0NRT,290.49,7.96,D
8.9117,80.47472,338.16,0.63,0.54,2026-08-26,726,N21,VIIRS,n,2.0NRT,289.9,11.6,D
9.23741,80.32394,332.77,0.32,0.55,2026-08-26,726,N21,VIIRS,n,2.0NRT,290.25,1.76,D
9.27424,80.15481,330.55,0.33,0.55,2026-08-26,726,N21,VIIRS,n,2.0NRT,289.88,2.74,D
9.34347,80.16696,346.15,0.33,0.55,2026-08-26,726,N21,VIIRS,n,2.0NRT,290.17,6.12,D
9.39075,78.88336,336.06,0.4,0.6,2026-08-26,726,N21,VIIRS,n,2.0NRT,291.74,2.89,D
9.43175,80.37721,330.8,0.63,0.54,2026-08-26,726,N21,VIIRS,n,2.0NRT,291.89,7.51,D
9.44243,80.49594,331.63,0.62,0.54,2026-08-26,726,N21,VIIRS,n,2.0NRT,293.33,5.77,D
9.45457,80.4912,333.31,0.62,0.54,2026-08-26,726,N21,VIIRS,n,2.0NRT,292.57,16.03,D
9.45557,80.49669,340.96,0.62,0.54,2026-08-26,726,N21,VIIRS,n,2.0NRT,293.67,16.03,D
9.45706,80.49337,343.5,0.62,0.54,2026-08-26,726,N21,VIIRS,n,2.0NRT,293.49,18.95,D
10.38894,79.17622,330.34,0.37,0.58,2026-08-26,726,N21,VIIRS,n,2.0NRT,292.83,5.0,D
11.74077,78.97653,347.16,0.36,0.57,2026-08-26,726,N21,VIIRS,n,2.0NRT,294.02,3.99,D
11.7447,79.05466,333.07,0.35,0.57,2026-08-26,726,N21,VIIRS,n,2.0NRT,295.21,1.51,D
11.26812,80.00212,308.67,0.45,0.39,2026-08-26,2000,N21,VIIRS,n,2.0NRT,282.57,1.51,N
11.80773,77.92281,307.55,0.39,0.44,2026-08-26,2000,N21,VIIRS,n,2.0NRT,279.96,1.42,N
11.81676,77.91685,300.49,0.39,0.44,2026-08-26,2000,N21,VIIRS,n,2.0NRT,280.09,0.64,N
9.41347,80.41784,328.41,0.66,0.73,2026-08-27,707,N21,VIIRS,n,2.0NRT,288.67,3.85,D
9.08281,77.96626,331.57,0.43,0.62,2026-08-27,848,N21,VIIRS,n,2.0NRT,294.28,3.55,D
9.18647,77.63859,330.03,0.41,0.6,2026-08-27,848,N21,VIIRS,n,2.0NRT,292.53,0.83,D
9.18691,77.63944,331.4,0.41,0.6,2026-08-27,848,N21,VIIRS,n,2.0NRT,291.35,1.26,D
9.20358,77.94232,343.32,0.43,0.62,2026-08-27,848,N21,VIIRS,n,2.0NRT,296.38,4.47,D
9.20698,77.93936,332.0,0.43,0.62,2026-08-27,848,N21,VIIRS,n,2.0NRT,296.61,9.27,D
9.38556,77.56399,330.37,0.4,0.6,2026-08-27,848,N21,VIIRS,n,2.0NRT,292.71,4.92,D
9.39247,80.4873,330.79,0.64,0.72,2026-08-27,848,N21,VIIRS,n,2.0NRT,290.24,11.0,D
9.91148,78.28306,333.73,0.46,0.64,2026-08-27,848,N21,VIIRS,n,2.0NRT,291.88,3.22,D
10.05289,77.95028,355.42,0.44,0.62,2026-08-27,848,N21,VIIRS,n,2.0NRT,292.05,11.04,D
10.87824,77.60252,332.96,0.43,0.62,2026-08-27,848,N21,VIIRS,n,2.0NRT,294.52,1.69,D
10.97389,77.72894,330.9,0.44,0.62,2026-08-27,848,N21,VIIRS,n,2.0NRT,295.82,4.69,D
8.38569,80.18303,330.97,0.56,0.51,2026-08-28,828,N21,VIIRS,n,2.0NRT,289.07,3.06,D
8.49315,80.21699,334.7,0.56,0.52,2026-08-28,828,N21,VIIRS,n,2.0NRT,291.02,5.37,D
8.56604,78.08351,332.18,0.41,0.45,2026-08-28,828,N21,VIIRS,l,2.0NRT,303.65,1.94,D
